date,time,tables,liga,players,url,status
23 сент,07:30,A5, Лига 550-600,"['Евлахин Дмитрий Михайлович', 'Михеев Даниил Анатольевич', 'Лыфенко Никита Игоревич', 'Лопатин Сергей Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45673,Завершён
23 сент,07:45,A6, Лига 500-550,"['Кутузов Олег Геннадьевич', 'Гусев Александр Сергеевич', 'Галузинский Стефан Павлович', 'Лобанов Алексей Юрьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45681,Завершён
23 сент,07:45,A4, Лига 800-900,"['Монаков Александр Олегович', 'Евлампиев Вадим Георгиевич', 'Баталов Анатолий Вадимович', 'Амбросимов Федор Ильич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45669,Завершён
23 сент,08:00,A3, Лига 250-300,"['Занев Валерий Валентинович', 'Манушин Алексей Юрьевич', 'Дворниченко Юрий Михайлович', 'Васильев Вадим Анатольевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45665,Завершён
23 сент,08:00,A15, Лига 400-450,"['Ермоленко Василий Степанович', 'Луговский Сергей Григорьевич', 'Муровейко Николай Степанович', 'Шубин Алексей Александрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45687,Завершён
23 сент,11:30,A5, Лига 450-500,"['Суриков Вячеслав Владимирович', 'Чернов Вячеслав Валерьевич', 'Зеленский Роман Юрьевич', 'Талтыкин Михаил Викторович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45674,Текущий
23 сент,11:45,A4, Лига 350-400,"['Скоблов Антон Александрович', 'Шипицын Геннадий Юрьевич', 'Константинов Дмитрий Николаевич', 'Харлакин Олег Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45670,Текущий
23 сент,11:45,A6, Лига 300-350,"['Белугин Олег Владимирович', 'Хаперский Юрий Николаевич', 'Крикунов Игорь Викторович', 'Кононенко Тарас Петрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45682,Текущий
23 сент,12:00,A3, Лига 700-800,"['Клавденков Александр Александрович', 'Бухтияров Иван Александрович', 'Карабанов Егор Николаевич', 'Троянов Ярослав Вадимович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45666,Текущий
23 сент,12:00,A15, Лига 450-500,"['Кернер Александр Владимирович', 'Гусь Сергей Васильевич', 'Шепелевич Игорь Дмитриевич', 'Гаевский Василий Антонович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45688,Текущий
23 сент,15:30,A5, Лига 600-700,"['Потапков Андрей Викторович', 'Чахур Владислав Васильевич', 'Шкурко Артем Олегович', 'Быструшкин Константин Валерьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45675,Предстоящий
23 сент,15:45,A6, Лига 300-350,"['Яковлев Андрей Валентинович', 'Кривенький Юрий Леонидович', 'Конобеев Алексей Алексеевич', 'Блинов Игорь Аркадьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45683,Предстоящий
23 сент,15:45,A4, Лига 400-450,"['Вологжанин Владимир Олегович', 'Китайцев Александр Алексеевич', 'Алексеев Александр Александрович', 'Лбов Юрий Вячеславович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45671,Предстоящий
23 сент,16:00,A3, Лига 250-300,"['Разоренов Димитрий Алексеевич', 'Шутов Олег Павлович', 'Алексеев Дмитрий Александрович', 'Севальнев Николай Валерьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45667,Предстоящий
23 сент,16:00,A15, Лига 600-700,"['Логунов Александр Петрович', 'Мурашко Владимир Владимирович', 'Скочеленков Кирилл Викторович', 'Кошель Владимир Леонидович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45689,Предстоящий
23 сент,19:30,A5, Лига 450-500,"['Буров Сергей Александрович', 'Антонов Роман Владимирович', 'Новиков Илья Юрьевич', 'Балакин Дмитрий Александрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45676,Предстоящий
23 сент,19:45,A4, Лига 550-600,"['Прохоров Андрей Валерьевич', 'Илюхин Евгений Викторович', 'Гиревенков Алик Андреевич', 'Афанасьев Иван Юрьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45672,Предстоящий
23 сент,19:45,A6, Лига 900-1000,"['Дедов Василий Владимирович', 'Лукьянов Павел Владимирович', 'Комаров Денис Андреевич', 'Желубенков Александр Евгеньевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45685,Предстоящий
23 сент,20:00,A15, Лига 500-550,"['Галимов Михаил Генарович', 'Романенко Дмитрий Юрьевич', 'Жук Алексей Вячеславович', 'Шафиев Руслан Казымович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45690,Предстоящий
23 сент,20:00,А9, Лига 700-800,"['Троянов Ярослав Вадимович', 'Туницын Дмитрий Николаевич', 'Мартюхин Сергей Вячеславович', 'Морозов Сергей Евгеньевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45684,Предстоящий
23 сент,20:00,A3, Лига 800-900,"['Петров Михаил Геннадьевич', 'Хоменко Роман Викторович', 'Маркелов Егор Евгеньевич', 'Матвеев Игорь Игоревич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45668,Предстоящий
23 сент,23:30,A5, Лига 450-500,"['Касаткин Владимир Павлович', 'Попов Олег Александрович', 'Зеленский Роман Юрьевич', 'Барышников Евгений Алексеевич', 'Зюганов Олег Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45680,Предстоящий
23 сент,23:45,A6, Лига 500-550,"['Пандур Иван Георгиевич', 'Иванов Александр Анатольевич', 'Кутузов Олег Геннадьевич', 'Мамека Максим Владимирович', 'Тарасенков Николай Вячеславович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45686,Предстоящий
23 сент,23:45,A4, Лига 350-400,"['Кадулин Максим Сергеевич', 'Немашкало Владимир Фёдорович', 'Ханевский Андрей Вадимович', 'Селькин Владимир Александрович', 'Харлакин Олег Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45677,Предстоящий
