date,time,tables,liga,players,url,status
24 сент,07:30,A5, Лига 300-350,"['Воронков Евгений Николаевич', 'Пустоселов Владимир Владимирович', 'Кононенко Александр Анатольевич', 'Мануйлов Олег Борисович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45712,Завершён
24 сент,07:45,A4, Лига 250-300,"['Михайлов Алексей Владимирович', 'Цыбульский Владимир Михайлович', 'Жигалов Владимир Савватиевич', 'Константинов Сергей Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45706,Завершён
24 сент,07:45,A6, Лига 450-500,"['Трошкин Артём Алексеевич', 'Новиков Илья Юрьевич', 'Шершнев Алексей Владимирович', 'Беспалов Никита Сергеевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45718,Текущий
24 сент,08:00,A15, Лига 400-450,"['Чертков Дмитрий Александрович', 'Ермоленко Василий Степанович', 'Шубин Алексей Александрович', 'Триушенко Иван Геннадьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45723,Текущий
24 сент,08:00,A3, Лига 600-700,"['Боков Андрей Владимирович', 'Артемов Андрей Александрович', 'Резников Михаил Борисович', 'Глазун Евгений Геннадьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45702,Текущий
24 сент,11:30,A5, Лига 500-550,"['Помазков Армен Михайлович', 'Лобанов Алексей Юрьевич', 'Обухов Василий Валерьевич', 'Мамека Максим Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45713,Предстоящий
24 сент,11:45,A6, Лига 350-400,"['Носов Андрей Владимирович', 'Мусликов Сергей Михайлович', 'Нарзуков Дмитрий Борисович', 'Царский Дмитрий Анатольевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45719,Предстоящий
24 сент,11:45,A4, Лига 250-300,"['Васильев Вадим Анатольевич', 'Занев Валерий Валентинович', 'Васютин Илья Владимирович', 'Пряхин Вадим Алексеевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45707,Предстоящий
24 сент,12:00,A15, Лига 500-550,"['Гусь Сергей Васильевич', 'Пашкевич Владислав Николаевич', 'Кузнецов Сергей Тимофеевич', 'Гаврилюк Александр Петрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45724,Предстоящий
24 сент,12:00,A3, Лига 550-600,"['Никулин Сергей Анатольевич', 'Макаркин Владимир Николаевич', 'Лопатин Сергей Владимирович', 'Разинков Тимофей Викторович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45703,Предстоящий
